Sr No,US_Yes,P(Y),Bins,,,n,850,0.202863962,,,
1,1,0.664741931,1,,,,,,,,
2,1,0.652784333,1,,bin,No of US Customer in Each Bin,%(No of US Customer),Cummulative % of No. of US Customer,Normal Curve(Cumulative),Extreme(Cummulative),Area 
3,1,0.640717671,1,,0,0,0,0,0,0,
4,1,0.640717671,1,,1,60,0.143198091,0.143198091,0.1,0.2,0.007159905
5,1,0.638932709,1,,2,41,0.097852029,0.241050119,0.2,0.4,0.019212411
6,0,0.6376038,1,,3,43,0.102625298,0.343675418,0.3,0.6,0.029236277
7,1,0.6376038,1,,4,41,0.097852029,0.441527446,0.4,0.8,0.039260143
8,0,0.630515116,1,,5,40,0.095465394,0.53699284,0.5,1,0.048926014
9,1,0.630515116,1,,6,40,0.095465394,0.632458234,0.6,1,0.058472554
10,0,0.627804346,1,,7,35,0.08353222,0.715990453,0.7,1,0.067422434
11,1,0.626458425,1,,8,47,0.112171838,0.828162291,0.8,1,0.077207637
12,0,0.624404564,1,,9,41,0.097852029,0.92601432,0.9,1,0.087708831
13,1,0.624404564,1,,10,31,0.07398568,1,1,1,0.096300716
14,1,0.623723121,1,,,419,,,,,
15,1,0.622813769,1,,,,,,,AUC,0.530906921
16,0,0.620764571,1,,,,,,,ROC,0.061813842
17,1,0.620207159,1,,,,,,,,
18,1,0.619294496,1,,,,,,,,
19,0,0.616309918,1,,,,,,,,
20,1,0.615622829,1,,,,,,,,
21,1,0.612869884,1,,,,,,,,
22,1,0.61219319,1,,,,,,,,
23,0,0.611618377,1,,,,,,,,
24,1,0.611158303,1,,,,,,,,
25,1,0.608381,1,,,,,,,,
26,1,0.608047656,1,,,,,,,,
27,1,0.607457905,1,,,,,,,,
28,0,0.607227011,1,,,,,,,,
29,1,0.606649566,1,,,,,,,,
30,1,0.605146818,1,,,,,,,,
31,1,0.605043901,1,,,,,,,,
32,0,0.604684033,1,,,,,,,,
33,1,0.604684033,1,,,,,,,,
34,1,0.60271511,1,,,,,,,,
35,1,0.602483252,1,,,,,,,,
36,0,0.602392886,1,,,,,,,,
37,1,0.602367305,1,,,,,,,,
38,1,0.60155536,1,,,,,,,,
39,1,0.601103944,1,,,,,,,,
40,1,0.600755663,1,,,,,,,,
41,0,0.600174969,1,,,,,,,,
42,0,0.598547532,1,,,,,,,,
43,1,0.597370899,1,,,,,,,,
44,1,0.597138007,1,,,,,,,,
45,0,0.596206,1,,,,,,,,
46,0,0.596102308,1,,,,,,,,
47,1,0.596102308,1,,,,,,,,
48,0,0.595765457,1,,,,,,,,
49,1,0.595623143,1,,,,,,,,
50,1,0.595169529,1,,,,,,,,
51,1,0.595052884,1,,,,,,,,
52,1,0.595040016,1,,,,,,,,
53,1,0.594923358,1,,,,,,,,
54,1,0.594248939,1,,,,,,,,
55,0,0.593989712,1,,,,,,,,
56,0,0.593769074,1,,,,,,,,
57,1,0.593639419,1,,,,,,,,
