Policy Number,Age Band,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Premium payment
150023,A,5,1,M,Married,11,203,0
152720,B,10,1,F,Single,6,402,0
174207,B,37,1,M,Married,0,553,1
139895,B,31,1,F,Married,15,292,0
174407,A,3,1,M,Single,15,247,0
170545,B,8,1,M,Married,9,385,0
123164,B,19,1,F,Single,0,462,0
147118,C,49,1,F,Married,15,169,0
119842,C,48,1,M,Single,5,70,0
192628,A,0,1,F,Single,14,243,0
154593,A,1,1,M,Single,12,764,1
182495,B,8,1,F,Single,14,407,0
173214,A,1,1,F,Married,13,162,0
124315,C,49,1,M,Married,7,243,0
189976,B,27,1,M,Married,7,359,0
109823,B,40,1,M,Married,15,315,0
140529,C,48,1,M,Single,11,307,0
108345,A,1,1,M,Single,15,773,1
197526,C,49,1,M,Single,3,593,1
164235,C,45,1,M,Married,0,275,0
112321,B,27,1,F,Single,10,473,0
140896,A,0,1,M,Single,15,877,1
136526,B,10,1,F,Single,0,825,1
177965,C,49,1,F,Single,6,273,0
154647,A,3,1,F,Single,11,221,0
127564,B,16,1,M,Single,13,169,0
180980,C,48,1,F,Married,0,98,0
173004,B,22,1,M,Married,3,680,1
168613,B,22,1,F,Married,13,210,0
102189,A,2,1,F,Married,8,354,0
190883,C,49,1,F,Married,9,156,0
162323,B,12,1,M,Married,4,671,1
124254,B,13,1,M,Single,1,447,0
168484,C,47,1,M,Married,5,109,0
184955,C,47,1,F,Married,7,120,0
188699,B,30,1,M,Single,10,455,0
152298,A,4,1,M,Single,10,846,1
137739,B,32,1,M,Single,13,274,0
102090,B,18,1,F,Single,3,791,1
164014,B,14,1,F,Single,6,355,0
140277,B,20,1,M,Married,1,523,1
183688,C,47,1,M,Single,0,347,0
189679,B,39,1,F,Single,2,382,0
139993,A,6,1,M,Single,12,748,1
101061,B,26,1,M,Married,9,391,0
163029,B,29,1,M,Married,12,330,0
196673,A,1,1,M,Single,7,905,1
154414,B,19,1,F,Single,9,387,0
152345,A,0,1,M,Married,11,482,0
159755,B,12,1,M,Married,15,178,0
196090,A,6,1,M,Married,9,597,1
124743,B,36,1,M,Single,9,449,0
160933,C,47,1,F,Married,4,219,0
170212,C,41,1,F,Married,8,228,0
174318,C,41,1,F,Single,2,720,1
182975,A,0,1,M,Single,8,951,1
127853,B,21,1,M,Single,11,369,0
101368,A,1,1,F,Married,14,191,0
168719,B,19,1,M,Single,8,503,1
131825,A,0,1,M,Married,15,265,0
198279,C,51,1,M,Single,7,342,0
118353,A,3,1,F,Married,15,205,0
164749,B,9,1,M,Single,5,707,1
180133,B,10,1,F,Single,3,865,1
174077,A,2,1,F,Married,9,435,0
155060,A,3,1,M,Single,4,1096,1
150870,A,2,1,M,Married,12,373,0
180138,C,47,1,M,Married,11,48,0
185934,B,25,1,F,Single,13,447,0
153908,A,0,1,M,Single,12,665,1
169358,A,4,1,M,Married,14,317,0
153822,C,40,1,M,Single,5,389,0
140129,A,4,1,F,Single,13,406,0
122434,C,42,1,F,Single,12,46,0
149010,A,0,1,M,Married,14,355,0
151476,A,0,1,F,Single,11,297,0
106521,C,43,1,F,Single,4,217,0
168963,B,20,1,M,Married,6,376,0
115414,C,48,1,M,Single,15,26,0
164992,B,7,1,F,Married,5,606,1
133639,B,42,1,M,Single,11,351,0
122437,C,45,1,F,Married,12,16,0
137595,B,8,1,M,Single,5,739,1
187253,A,2,1,F,Married,13,183,0
156504,A,3,1,M,Married,13,311,0
162843,C,46,1,F,Married,11,260,0
115549,B,17,1,F,Married,7,322,0
135122,B,27,1,M,Single,10,596,1
160917,C,42,1,M,Married,13,162,0
185458,A,8,1,M,Married,15,525,1
160510,B,30,1,F,Married,6,330,0
140871,A,6,1,M,Single,13,414,0
176448,B,23,1,M,Married,1,593,1
198278,A,2,1,F,Single,14,412,0
172292,B,16,1,F,Single,7,395,0
193942,C,53,1,F,Married,8,59,0
171408,B,27,1,M,Single,0,575,1
191865,C,44,1,F,Single,2,85,0
195418,B,29,1,M,Single,8,552,1
128036,C,50,1,M,Single,6,78,0
199870,B,34,1,M,Married,9,314,0
147315,A,8,1,M,Single,5,3500,1
190621,A,0,1,M,Single,15,3250,0
142474,C,48,1,M,Single,10,2850,0
194236,C,43,1,F,Single,10,2535,0
185366,B,34,1,M,Married,5,2852,1
142085,A,7,1,F,Married,11,2879,0
114164,B,20,1,F,Married,3,2814,1
164185,A,6,1,F,Single,8,2879,1
103178,B,32,1,F,Single,15,3462,0
140879,B,15,1,M,Single,9,3333,0
174443,C,45,1,F,Single,13,3227,0
121044,C,49,1,F,Married,2,235,0
185091,C,45,1,F,Married,3,61,0
104797,A,7,1,M,Single,9,751,1
136204,B,38,1,F,Married,10,315,0
112619,A,0,1,M,Single,8,1197,1
178782,A,0,1,F,Single,12,611,1
130506,A,1,1,M,Single,13,868,1
107433,B,38,1,F,Married,14,284,0
122086,B,33,1,M,Married,11,143,0
120837,B,37,1,M,Single,9,443,0
119860,A,5,1,M,Single,15,1087,1
100079,A,3,1,M,Married,1,682,1
107878,B,35,1,M,Married,15,269,0
111243,B,16,1,M,Married,0,430,0
141643,B,16,1,F,Single,13,218,0
121584,C,40,1,F,Married,9,288,0
183067,B,11,1,F,Married,0,387,0
184637,A,2,1,F,Single,15,233,0
129471,A,4,1,F,Married,15,296,0
181752,B,13,1,F,Single,9,382,0
145728,C,42,1,M,Single,0,98,0
138354,B,25,1,F,Single,3,427,0
149411,A,0,1,M,Single,13,535,1
155379,A,1,1,F,Married,15,323,0
189763,C,47,1,M,Married,5,313,0
115565,C,52,1,F,Married,12,29,0
179862,A,0,1,M,Married,11,414,0
156612,B,30,1,M,Single,9,397,0
160282,A,0,1,M,Single,12,550,1
181059,A,5,1,F,Single,2,768,1
146711,C,46,1,F,Single,4,430,0
198926,C,49,1,F,Single,13,58,0
108827,A,7,1,F,Single,7,423,0
165557,B,8,1,M,Single,15,299,0
192032,A,6,1,M,Single,12,376,0
167570,B,18,1,F,Single,9,429,0
172196,A,6,1,M,Single,12,620,1
104695,C,46,1,F,Single,6,357,0
109581,C,50,1,F,Single,14,37,0
125470,B,5,1,M,Single,2,514,1
146889,B,22,1,M,Single,8,383,0
183736,A,1,1,M,Married,10,776,1
188360,B,18,1,M,Single,5,688,1
137629,A,2,1,M,Married,13,250,0
123394,B,13,1,F,Married,12,151,0
111554,C,50,1,F,Single,7,97,0
164809,C,53,1,F,Single,10,156,0
125588,A,7,1,M,Single,7,1036,1
110830,A,5,1,F,Single,10,466,0
130427,B,38,1,F,Married,4,597,1
